"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","TimePoint","Regulation"
"Epb41l4b",0.0426283170009893,-0.503194263038864,0.222,0.311,1,"Epb41l4b","OPC","P23","Down"
"Rab34",0.0428468560098728,0.418742694261897,0.403,0.3,1,"Rab34","OPC","P23","Up"
"Uba3",0.0429910857588362,0.709279300190935,0.253,0.172,1,"Uba3","OPC","P23","Up"
"Olfm1",0.0430094095418356,-0.366972456870008,0.321,0.422,1,"Olfm1","OPC","P23","Down"
"Slc4a10",0.0430610311999027,-0.38199387246419,0.353,0.456,1,"Slc4a10","OPC","P23","Down"
"Slc12a9",0.0433057082310904,-0.592362825299394,0.208,0.289,1,"Slc12a9","OPC","P23","Down"
"Tmem176b",0.0433192863050828,-0.391857078712211,0.362,0.456,1,"Tmem176b","OPC","P23","Down"
"Sorcs3",0.043389038566469,0.415811409092504,0.403,0.306,1,"Sorcs3","OPC","P23","Up"
"Rab11fip2",0.0439730390856354,0.556791086747602,0.339,0.256,1,"Rab11fip2","OPC","P23","Up"
"Aak1",0.0445421787972603,-0.45988643985856,0.285,0.367,1,"Aak1","OPC","P23","Down"
"Zfp462",0.0449988575414784,-0.22741611550093,0.647,0.733,1,"Zfp462","OPC","P23","Down"
"Hepacam",0.0456535178135164,-0.318334241749993,0.475,0.589,1,"Hepacam","OPC","P23","Down"
"Bclaf1",0.0458625437220295,-0.38654647454703,0.439,0.522,1,"Bclaf1","OPC","P23","Down"
"Slc9a9",0.0458916607843563,-0.313041618186858,0.226,0.333,1,"Slc9a9","OPC","P23","Down"
"Ppp2r5c",0.0463291166230774,0.601350788089414,0.267,0.178,1,"Ppp2r5c","OPC","P23","Up"
"Dcc",0.0465549349521377,-0.577091369157468,0.235,0.322,1,"Dcc","OPC","P23","Down"
"Phtf1",0.0467432720726045,0.602814167561233,0.285,0.2,1,"Phtf1","OPC","P23","Up"
"Tspan31",0.0468743142673079,-0.557461348238107,0.204,0.294,1,"Tspan31","OPC","P23","Down"
"Arl8a",0.0469980078407554,-0.383271462182955,0.199,0.294,1,"Arl8a","OPC","P23","Down"
"Zfp280d",0.0477470986702682,-0.308877543340859,0.33,0.439,1,"Zfp280d","OPC","P23","Down"
"Dip2c",0.0480295538657717,-0.483769000531387,0.172,0.256,1,"Dip2c","OPC","P23","Down"
"Atxn10",0.0482162515927093,-0.283216718693847,0.29,0.394,1,"Atxn10","OPC","P23","Down"
"App",0.0492599303582137,0.222693179004472,0.783,0.628,1,"App","OPC","P23","Up"
