"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","TimePoint","Regulation"
"Ssh1",0.0189270277375467,0.524372850650159,0.283,0.149,1,"Ssh1","Mature_OL","P23","Up"
"Otud5",0.0191807399465412,0.778676525145504,0.312,0.187,1,"Otud5","Mature_OL","P23","Up"
"Cic",0.0192312645440635,-0.703499090304402,0.181,0.299,1,"Cic","Mature_OL","P23","Down"
"Pacs2",0.0192396215987502,0.489536232580617,0.623,0.507,1,"Pacs2","Mature_OL","P23","Up"
"Map2k2",0.0193394954271147,-0.595418286780942,0.391,0.507,1,"Map2k2","Mature_OL","P23","Down"
"Gpd2",0.0194285525998523,0.799231914903306,0.29,0.172,1,"Gpd2","Mature_OL","P23","Up"
"Safb2",0.0196268662071932,0.415258401928755,0.688,0.53,1,"Safb2","Mature_OL","P23","Up"
"Xrn2",0.0196914470368063,-0.772907510837299,0.29,0.41,1,"Xrn2","Mature_OL","P23","Down"
"Sorbs3",0.0197271699670987,0.566061622092054,0.652,0.507,1,"Sorbs3","Mature_OL","P23","Up"
"Myh14",0.0198491677625448,0.705587039013069,0.355,0.239,1,"Myh14","Mature_OL","P23","Up"
"Dip2a",0.0198901323956283,0.270124846542082,0.942,0.821,1,"Dip2a","Mature_OL","P23","Up"
"Sec24a",0.0202041696904077,-0.67266365256694,0.196,0.313,1,"Sec24a","Mature_OL","P23","Down"
"Srsf6",0.0202875372146091,0.289812702722237,0.891,0.776,1,"Srsf6","Mature_OL","P23","Up"
"Canx",0.0206345853810302,-0.801210845314478,0.174,0.284,1,"Canx","Mature_OL","P23","Down"
"Arsg",0.0206637075393693,0.624453248382023,0.529,0.396,1,"Arsg","Mature_OL","P23","Up"
"Dtx3",0.0208122101636885,0.584115080574037,0.348,0.209,1,"Dtx3","Mature_OL","P23","Up"
"Ranbp9",0.0209627129232983,-0.991799157068686,0.152,0.261,1,"Ranbp9","Mature_OL","P23","Down"
"Dnajc7",0.0210733477216617,0.442838620165717,0.572,0.425,1,"Dnajc7","Mature_OL","P23","Up"
"Nlgn3",0.0212753360225714,-0.904164214290077,0.174,0.284,1,"Nlgn3","Mature_OL","P23","Down"
"Trafd1",0.0213179057073285,-0.538807897899725,0.225,0.351,1,"Trafd1","Mature_OL","P23","Down"
"Sc5d",0.0213669831349127,-0.720779410234464,0.384,0.485,1,"Sc5d","Mature_OL","P23","Down"
"Dbp",0.0216913795758644,1.30473554861657,0.261,0.164,1,"Dbp","Mature_OL","P23","Up"
"Nkx6-2",0.0218328323594465,0.454411921767701,0.667,0.515,1,"Nkx6-2","Mature_OL","P23","Up"
"Emc2",0.0219045147656758,-0.870190078000616,0.145,0.254,1,"Emc2","Mature_OL","P23","Down"
"Zdhhc17",0.0221692409742384,-0.404997773315056,0.536,0.619,1,"Zdhhc17","Mature_OL","P23","Down"
"Pacsin3",0.0227976616638068,-0.81268786733704,0.181,0.291,1,"Pacsin3","Mature_OL","P23","Down"
