"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","TimePoint","Regulation"
"Dctn4",0.959487257770479,-0.0825715055341268,0.364,0.38,1,"Dctn4","OPC_1","P08","Down"
"Epha5",0.959960834153832,0.0492328118069342,0.337,0.347,1,"Epha5","OPC_1","P08","Up"
"Cdc37l1",0.960142376212803,-0.0247130171380046,0.664,0.694,1,"Cdc37l1","OPC_1","P08","Down"
"Dlst",0.960289356482094,-0.0194593662323204,0.293,0.298,1,"Dlst","OPC_1","P08","Down"
"Gripap1",0.960625554499365,0.035006295730924,0.378,0.392,1,"Gripap1","OPC_1","P08","Up"
"Pttg1ip",0.960776480922539,0.0383769334378553,0.279,0.286,1,"Pttg1ip","OPC_1","P08","Up"
"Dennd5b",0.962120151063238,-0.085656057761816,0.306,0.306,1,"Dennd5b","OPC_1","P08","Down"
"Ntm",0.962434471814741,0.107983452683278,0.286,0.314,1,"Ntm","OPC_1","P08","Up"
"Slc1a3",0.962887698738061,0.00608646981259398,0.667,0.694,1,"Slc1a3","OPC_1","P08","Up"
"Tub",0.963285493387991,-0.0623225648526335,0.386,0.38,1,"Tub","OPC_1","P08","Down"
"Son",0.963391856031589,-0.0390762475519209,0.846,0.861,1,"Son","OPC_1","P08","Down"
"Polb",0.964691966060356,-0.0858239632060223,0.267,0.269,1,"Polb","OPC_1","P08","Down"
"Rab34",0.964813511325093,0.026701768251872,0.308,0.318,1,"Rab34","OPC_1","P08","Up"
"Zfp445",0.965095644650424,-0.0480210210743377,0.629,0.653,1,"Zfp445","OPC_1","P08","Down"
"Cnn3",0.966178754946309,0.0537574893940626,0.37,0.388,1,"Cnn3","OPC_1","P08","Up"
"Rcbtb1",0.966242578548796,-0.0428464537090729,0.298,0.302,1,"Rcbtb1","OPC_1","P08","Down"
"Il18",0.966881552422317,-0.0919689416480824,0.478,0.494,1,"Il18","OPC_1","P08","Down"
"Polg",0.967141612637316,0.00652706190259988,0.559,0.571,1,"Polg","OPC_1","P08","Up"
"Mfn1",0.968259350520629,0.043135427829419,0.308,0.327,1,"Mfn1","OPC_1","P08","Up"
"Tlcd1",0.96944309325437,0.124905393206845,0.326,0.339,1,"Tlcd1","OPC_1","P08","Up"
"Osbpl6",0.969960630149264,0.0753976878117709,0.279,0.29,1,"Osbpl6","OPC_1","P08","Up"
